tweet_text,created_at,characters
朝からジョジョ３部を見る,2022-08-17 08:27:51+09:00,12
足痺れた,2022-08-17 07:58:58+09:00,4
虚無,2022-08-17 04:14:20+09:00,2
無,2022-08-17 04:11:24+09:00,1
夏僕、履修します,2022-08-17 03:11:21+09:00,8
いえーいかわきんみってる～？,2022-08-17 01:18:15+09:00,14
おれ、しまながし、すき,2022-08-16 23:11:08+09:00,11
"マップに頼ったら負けかなって、思ってる
だから私はTwitterer",2022-08-16 23:10:16+09:00,34
ここどこ,2022-08-16 23:09:31+09:00,4
迷子,2022-08-16 23:09:13+09:00,2
Discordでｿｼｬｹﾞ鯖通話しながら外出するｿｼｬｶｽ,2022-08-16 23:00:01+09:00,29
くらE https://t.co/94N6QKD7Oz,2022-08-16 22:54:17+09:00,27
一瞬寝落ちしてたマン,2022-08-16 22:46:10+09:00,10
回線悪いのか動画送れなくて萎えた,2022-08-16 22:17:30+09:00,16
メッチャ＝フルヤンアメ,2022-08-16 20:45:24+09:00,11
ﾕｶﾘｻﾝｶﾜｲｲﾔｯﾀｰ！,2022-08-16 20:40:58+09:00,14
"シオカラ節といえばこれと言ったら怒られるが敢えて布教します
https://t.co/uHqFJcZvqO",2022-08-16 20:40:11+09:00,29
きたーーーーー https://t.co/uRXayWJO8o,2022-08-16 20:22:15+09:00,7
ACゲーマーはネジが外れてるだけで悪いやつはいない,2022-08-16 20:14:10+09:00,25
しゅん静は既に何人か隠してそう(偏見),2022-08-16 20:13:17+09:00,19
無許可です、通報 https://t.co/JwUz7O3k9r,2022-08-16 20:06:44+09:00,8
え、ｺｶﾞ彼女いるの！？,2022-08-16 19:34:48+09:00,12
本日の我が家の回線は重め、ソースはTLの更新速度,2022-08-16 19:29:28+09:00,24
Lunaさんの夏僕ってなんだこれ,2022-08-16 19:11:06+09:00,16
Seeka.さんの再upきてる～,2022-08-16 19:04:33+09:00,16
ただのOW,2022-08-16 18:41:08+09:00,5
"嫌いだけど好きな言葉
「重力は枷だ、私は枷に「枷」をかけた」",2022-08-16 18:35:04+09:00,30
ヴェネツィアに行きたいです(思い付き),2022-08-16 17:47:36+09:00,19
しまだがおぢさんに逆ナンされたってコト...！？,2022-08-16 17:34:46+09:00,25
"帰省しなさすぎて家族だけじゃなくて、友達からも帰ってこないのか催促された

帰れません",2022-08-16 17:29:29+09:00,44
これが「ちいかわ」 https://t.co/CbOsjWlUxp,2022-08-16 17:27:50+09:00,33
部屋を片付けないとってずっと言ってる,2022-08-16 16:51:27+09:00,18
起床からのフロアガ,2022-08-16 16:39:17+09:00,9
